ID,Type,Strain
018NY6XC00VTHTTQVRBK27ZAHT,"","$100 OG"
018NY6XC00VTQ55YRFW94E7DW2,"","$100 OG Kush"
018NY6XC00VTNRPEGJQE1AG2TK,"","00 Kush Breath"
018NY6XC00VTVGT4RHFJG7KGA4,"","0-0-Swerdlow"
018NY6XC00VT17WVEBQXAXRWR0,"","1"
018NY6XC00VT1R87P3TB4SC7KC,"","10"
018NY6XC00VTAJTT8A8B9VC674,"","100 Watt Kind"
018NY6XC00VTCSMWG1GA65276H,"","101 Headband"
018NY6XC00VT4PFANPQ3C0H612,"","1024"
018NY6XC00VTWYECN7JDN29TY5,"","11:59 Armageddon Skunk"
018NY6XC00VT60HRBACM7R8VXE,"","1:1 G - CBDiesel"
018NY6XC00VTVZX6A1H41AWZ3E,"","#129"
018NY6XC00VTVAKHD1J5PTYAHW,"","12th Man"
018NY6XC00VTA4NGSCC8ZZX0VN,"","12th Man Down"
018NY6XC00VTCG42BZH9ZJP7AE,"","12th Man OG"
018NY6XC00VTZE7S088G3E14P6,"","13 Bubbas"
018NY6XC00VTT430S1T8X07FEY,"","13 Dawgs"
018NY6XC00VT7QN30G0ANYHPTD,"","1.3G"
018NY6XC00VTRKMGME49XG6N9J,"","13 Roses"
018NY6XC00VT80ZYF13GFTWTTK,"","1988 Hash Plant"
018NY6XC00VTYN9YM5XQ491TGM,"","#1K"
018NY6XC00VT0ZKFPJP60C8M09,"","#1K PC"
018NY6XC00VT5P71WBH87P1XSA,"","1'n Dun"
018NY6XC00VT3THVR5VP2V8Z6R,"","1 'n the Pink"
018NY6XC00VTZFF8M9V7SX7WQN,"","2"
018NY6XC00VTYQFQEN4FF467E4,"","24 Carat"
018NY6XC00VTSTSP333DE37MK6,"","24 Gold"
018NY6XC00VT5HJ21GXX0YPER1,"","24k"
018NY6XC00VTB74EWVPE3NGPFE,"","24K Gold"
018NY6XC00VTR43R686FAYEMFX,"","24k tangie"
018NY6XC00VT1G4D63BBD0T9HK,"","26 Cookies"
018NY6XC00VTQNBN3NFFC7CWAF,"","#2 Pheno KFx2"
018NY6XC00VTBAXVKH3JC3ZH98,"","2 Pounder"
018NY6XC00VT992A88TBR0PGAB,"","2-Pounder"
018NY6XC00VTQKS0SCPEFBRC52,"","3"
018NY6XC00VTZBD06SXW4NDPZJ,"","303 Kush"
018NY6XC00VTKDWF9S3K1NSWA0,"","303 OG"
018NY6XC00VT9VZ8N3EN75B0YD,"","303 OG Kush"
018NY6XC00VTXK7X0KKPMYP9A8,"","303 Stooges"
018NY6XC00VTVPYSKAQREY7MFK,"","#32"
018NY6XC00VTHYAHQSC50ANVX2,"","360X"
018NY6XC00VTCS88KTFK4K1GW1,"","3D"
018NY6XC00VTVYB0H9R90WPED2,"","3D CBD"
018NY6XC00VT9WNYRJZMQQTCQA,"","3 Kings"
018NY6XC00VT3QBF9JWRXG25RF,"","3PAC"
018NY6XC00VT0NRENWAJK43CME,"","#3 Pheno GAL6174"
018NY6XC00VT9BRPECVFV9MZ6X,"","#3 Pheno GAL6175"
018NY6XC00VT68C8V3N1E7A7ME,"","3rd Coast Panama Chunk"
018NY6XC00VT0C036HX9JXSDAN,"","3rd Dimension"
018NY6XC00VTEBNYB6VCJ668WA,"","3 Times Crazy"
018NY6XC00VTV1BRE3PVSKGZWW,"","3x Cookies"
018NY6XC00VTTW7Z4QTAPZPS28,"","3X Crazy"
018NY6XC00VTZVCTX2ZH8CHA2M,"","3X Crazy (Three Times Crazy)"
018NY6XC00VT9GZJZWYYRD64RE,"","4"
018NY6XC00VT0KS1FCY3TPRFXF,"","4077 Med Leaf"
018NY6XC00VTKRT7GKQ1YRJS4M,"","420"
018NY6XC00VTNNKX6T9AMBBARQ,"","420 Glue"
018NY6XC00VTKV7F5JGC3CZAST,"","420 Kush"
018NY6XC00VTTRTWYR2MX8AT5G,"","425"
018NY6XC00VTZWAN7HFF2GMVNK,"","4 Best 4 You"
018NY6XC00VTGHMW504YCSV2QM,"","4 Corners"
018NY6XC00VT6VG1ADYDXAM2QJ,"","4D (4th Dimension)"
018NY6XC00VTN80N2Z5ERT1HMB,"","4 Horseman Haze"
018NY6XC00VTE21YP13JCAVW1E,"","4 Kings"
018NY6XC00VT028J0EVSQ2EGG2,"","4 Way"
018NY6XC00VTJGNXE6PXVS5Y5M,"","5"
018NY6XC00VTCGQY28MQCVFDPX,"","501st OG"
018NY6XC00VT1D2142EHNJ01XE,"","503 OG"
018NY6XC00VT9P1RRH3JPKKKZ1,"","509 Kush"
018NY6XC00VTS9N46T7548VR33,"","512 OG"
018NY6XC00VTH069NFRDPRJVZW,"","5G's Blue"
018NY6XC00VT19D0G0PB69NKFY,"","5G's Purple"
018NY6XC00VTEYTDFSZ599QQRB,"","5G's Red"
018NY6XC00VTX9X17NPH3NTBAR,"","5G's Yellow"
018NY6XC00VTZ8BEZ5VBBGWPQ7,"","5K OG (cut)"
018NY6XC00VTBQSG2D5F47ZQRV,"","5K Puff"
018NY6XC00VTJ25V9Y6CPQZBP1,"","#5 Pheno"
018NY6XC00VTV0WJ20WSCKNKS0,"","#5 Pheno Afghan Dom"
018NY6XC00VTJRV19QE0Q95ZTF,"","5th Element"
018NY6XC00VT5H1W350XNTG4Y9,"","6"
018NY6XC00VTRQMPDY5EXK57DJ,"","60"
018NY6XC00VT0N6MHQ555WJH11,"","60 Day Lemon (auto)"
018NY6XC00VTM3NBJSA5VMHBED,"","60 Day Wonder"
018NY6XC00VTQKM78X99Q06HQS,"","60% Indica / 60% Sativa"
018NY6XC00VTB4CA06D3PEFVPS,"","619 OG"
018NY6XC00VTPYA09VXEPBM8RX,"","#6 Pheno"
018NY6XC00VTTVV7BW8WEZ6N15,"","7"
018NY6XC00VTV178GJXHSQF33J,"","707 Headband"
018NY6XC00VTXG6E2F8A950JD7,"","707 Sour Diesel"
018NY6XC00VTAQ0H1A7VDS45VC,"","707 Truthband"
018NY6XC00VTG77Q8JA602AXK4,"","710 Cheese"
018NY6XC00VTT5CTEKGP75GCWP,"","710 Mango"
018NY6XC00VTMGAG46FKHXEAZ9,"","710 Stick Icky"
018NY6XC00VTQ0QE4AWQ8EBT3D,"","747"
018NY6XC00VTB7PPE4CT42ENQ2,"","76' Thai Stick"
018NY6XC00VTC8T6RQRH3D178S,"","'78 LA OG Affie"
018NY6XC00VT42ACPGXKG7JF3J,"","'78 OG AFFIE"
018NY6XC00VTY46J85PVH1HK1K,"","7/8 Sour"
018NY6XC00VT2H8TWSFEX3SYQP,"","7 Ghosts"
018NY6XC00VTX110106TDDDWFT,"","7 Kingdoms"
018NY6XC00VTHK3QHQSMKTFVP9,"","7 of 9"
018NY6XC00VT998HRJB46G1CXP,"","7 Stars Cookies"
018NY6XC00VTASKMVNHK1A43ZF,"","7-Way"
018NY6XC00VTBYTKN42PAPZ4WE,"","8"
018NY6XC00VTFTP4R22SJ84V3E,"","818 Headband"
018NY6XC00VTQDCMEQGSRP67K1,"","818 OG"
018NY6XC00VTZ4KEC25DK38GF3,"","818 Pure SFV OG S1"
018NY6XC00VT3D8SC353H891EZ,"","818 SFV Fire OG"
018NY6XC00VT95WC4AAH9A9G3H,"","831 OG"
018NY6XC00VTFCMJT4QW09RE46,"","'86 Black UW"
018NY6XC00VT0Q2HMSJYR5ZYDQ,"","88 G-13"
018NY6XC00VTZMCK995R2AW16J,"","88 G-13 Hashplant"
018NY6XC00VT7MA9XWV6XSJV0Z,"","8 Ball Kush"
018NY6XC00VTRGP9H2CQPP8Q34,"","8-K"
018NY6XC00VTV5CGK8H7BTSG3A,"","8 Mile"
018NY6XC00VT4TYDCDTAS1MEFJ,"","8 Miles High"
018NY6XC00VT8R9DQ7D5SB6WV4,"","90's Glue"
018NY6XC00VTPXCZXNVPHCHDBG,"","91 Bubbleberry"
018NY6XC00VTJGVGGPM6X7NXR7,"","'91 Chemdawg"
018NY6XC00VTABJJN0B0FJ93NX,"","91 Krypt"
018NY6XC00VTYB0THWWZHTW1FG,"","91 OG"
018NY6XC00VTW3KFBW368SW495,"","925"
018NY6XC00VTHRRVDRMGJ39MCB,"","'98 Aloha White Widow"
018NY6XC00VT3A1H46Y1PAD7GR,"","'98 Lemon Haze"
018NY6XC00VTFF0MQX9FTD6GRR,"","9lb. Strawberry"
018NY6XC00VTV675EQ0H8XP9NJ,"","9lb. Strawberry cough"
018NY6XC00VTJ58VBZTTFJHJJF,"","9 mile"
018NY6XC00VTXTW0R34K1M2BNX,"","9 Mill"
018NY6XC00VTVEEGRDEDWSH4GE,"","9 Pound Hammer"
018NY6XC00VTG2GBB0AVN4X24D,"","A-10"
018NY6XC00VT8C8KY7YKRZXXNW,"","A10"
018NY6XC00VTWSS3W8GSRH319J,"","A-13"
018NY6XC00VT7VC4H4R15YHAV7,"","A-1 Haze"
018NY6XC00VTC2BXGAR14J6QRW,"","A2 Cookies"
018NY6XC00VTQSK67MB3Z4B9H0,"","A3"
018NY6XC00VT3CTZZT43QCF11J,"","A5 Haze"
018NY6XC00VT6PTCPGXDH70B0N,"","AAA"
018NY6XC00VT9G49D6223AV83V,"","Abacus"
018NY6XC00VT0DK785N6PZPMFV,"","Abatiol"
018NY6XC00VT0ASVMXM2WP9B1B,"","Abba Zabba"
018NY6XC00VTTDYWD48WNZPFYS,"","ABC (Australian Bastard Cannabis)"
018NY6XC00VT0VXJW1WJCJ8YEY,"","Aberdeen"
018NY6XC00VT5QKE24HAVZETR7,"","A-Bomb"
01E7BTTYS5S0HQYHCXVFPRDNXA,"Indica/Sativa","Abominable Snowman"
018NY6XC00VTTW9WBR81Z7PM7P,"","Above and Beyond"
018NY6XC00VTFE00BFQ3J07Z5Y,"","Abra Cadabra"
018NY6XC00VT0W8EJVAS60HYCC,"","Abula"
018NY6XC00VT0XXP6YTQ1WY46T,"","Abusive OG"
018NY6XC00VTZN6CV0NZ690V1V,"","Acai"
01E7BTV19KVM70TVDVD56N2G8V,"Sativa/Indica","Acai Berry Gelato"
018NY6XC00VT6YBTJZD4Z7FXSY,"","Acapulco Gold"
018NY6XC00VT55KGTVN9M7DG0R,"","Acapulco Gold GAL6141"
018NY6XC00VT2Z0Q25TJ526H3J,"","Acapulco Gold GAL6443"
018NY6XC00VTGTR5VC7K0R32DE,"","Acapulco Gold Landrace"
018NY6XC00VTGGPFPK28GT148Z,"CBD","ACBD"
018NY6XC00VTG23EMG7A6A6S99,"","Accidental Tourist"
018NY6XC00VTJMAHXJYDW778K1,"","ACCORN SNOWBUD"
018NY6XC00VT4V0498MHXTY4CH,"","AC/DC"
018NY6XC00VT171FZWZWQ75QX9,"","ACDC (AC/DC)"
018NY6XC00VTH53WJC26MDJ5PZ,"","ACDC/Cannatonic"
018NY6XC00VT1P1SB4XGTHZKHH,"","ACDC / CB Diesel"
018NY6XC00VT3DXNQVM3G9WATN,"","AC/DC GAL5817"
018NY6XC00VTKG4AKAEXXX1D19,"","AC/DC GAL6140"
018NY6XC00VT3TQDY9RHMD74RQ,"","AC/DC Maui Bubble Gift"
018NY6XC00VTHHQDG92QS2Y6ED,"","ACDC / Stardust"
01E7C1NWSA1FQ2P33DAX1YKZVM,"-unknown-","ACDC x Lilly"
01E7BYPWKX3ZBHT76FW53D58CB,"-unknown-","ACDC x Querkle"
018NY6XC00VT6CB3XR66SJM7FB,"","AceBerry"
018NY6XC00VTDH0MD7MWKKYGQH,"","Aceh"
018NY6XC00VTMXQX728SJA5Q9Y,"","Aceh (Atjeh)"
01E7BTV5HVZ4SGTJSTK5F07MMW,"Sativa/Indica","Ace High"
018NY6XC00VTGXBNRTH472SAWD,"","Ace Killer OG"
018NY6XC00VT6C74EK7Y5XYMW1,"","Ace of Haze"
018NY6XC00VTE9RVHCXB6PT4ZH,"","Ace of Spades"
018NY6XC00VTCE5555S7GRJFMV,"","Ace of Spades GAL5983"
018NY6XC00VTVTEM0A5QW7XCNF,"","Ace of Spades GAL6064"
018NY6XC00VTFPFJA4K2HED33H,"","Ace of Spades GAL6379"
018NY6XC00VTWSEMWE62APDHDD,"","A Charlot's Web"
018NY6XC00VTG0GRPW3QRSK55J,"","Acid"
018NY6XC00VTNJXF83NEFPJC1W,"","Acid Diesel Hog"
018NY6XC00VT4D2AREADCSBZWG,"","Acid Dough"
018NY6XC00VTVTQXXH6MFVX6V7,"","Ackleberry"
018NY6XC00VTFNS94XX5MCP4J0,"Indica","Ackona"
018NY6XC00VT9VG9N222XKR6GR,"","Acorn"
018NY6XC00VTGM18VS9MH00FWJ,"","Acrata Trainwreck"
018NY6XC00VT2W87BV8QVCG3Q2,"","Adak OG"
018NY6XC00VT1J5MC4SJRJCY9C,"","Adamantium"
018NY6XC00VT6RXXDDV0AJ3G31,"","A-Dawg"
018NY6XC00VTECR264A45TGEJW,"","ADHD"
018NY6XC00VTSMWA8M5EWVABTD,"","Ad Hoc"
018NY6XC00VT04WE5X9H2TSTE6,"","Adonai Kush"
018NY6XC00VTPPQ1P8JFXDT903,"","Adonis"
018NY6XC00VT1YBP5AKYRDDD6Z,"","A-Dub"
018NY6XC00VTTSETA1QMF0QERZ,"","AE77 Cali-O"
018NY6XC00VTK8B635RTWQH66E,"","Aeon Flux"
018NY6XC00VTYV857GFGM2HDBS,"","Afcrack"
018NY6XC00VTRX6YV9A8CGDS0Z,"","Affi"
018NY6XC00VT70S1CWSDQ2YYPQ,"","Affie Bubba"
018NY6XC00VTGW00MSZ07VEHMF,"","Afgan Goo"
018NY6XC00VT3SYX1X1MVF8818,"","Afgani Skunk"
018NY6XC00VT8ZPQDPX6CFP8B2,"","Afgan Kush"
018NY6XC00VTZ6YJXCX6ZF14PC,"","Afghaan"
018NY6XC00VT6MW6PRQYYDFYAV,"","Afghaan Dream"
018NY6XC00VTEESV2EP0CJ74BG,"","Afghan"
018NY6XC00VTEWTJ52MRF3WJ0G,"","Afghan #1"
018NY6XC00VTHNB6NSAM2NXKMG,"","Afghan #1/10"
018NY6XC00VTV8Y1M9YD40JEVQ,"","Afghan Abusive"
018NY6XC00VTX4VNP60VEV72CJ,"","Afghan Big Bud"
018NY6XC00VTX2NQ1WKVFXDWY9,"","Afghan Blue"
01E7BTVG9JMCGTCMVQ6V6J1H4W,"Indica","Afghan Bullrider"
018NY6XC00VT1WYD87DA9JGFP9,"","Afghan Bull Rider"
018NY6XC00VT5SYHYM92F7F5G8,"","Afghan Cookies"
018NY6XC00VTT3Q9CAKPP9XXPX,"","Afghan Cow"
018NY6XC00VT60J1WFXW13GN11,"","Afghan Delight"
018NY6XC00VTTNC6RVMFAR6PJD,"","Afghan Diesel"
018NY6XC00VT44T2G6KBV1VZBW,"","Afghan Face-Off"
018NY6XC00VTHXKAYC944RSQM4,"","Afghan GAL5955"
018NY6XC00VTQCT51Q8JX6Z7Y3,"","Afghan GAL6448"
018NY6XC00VTGF3DM828WNBRF7,"","Afghan Ghost"
018NY6XC00VTFGCM5Q2QCGH5ER,"","Afghan Goo"
018NY6XC00VT7ZAKXEHT1966KS,"","Afghan Gooey"
018NY6XC00VTZDSWRQQ3ZMHZPT,"","Afghan H.A."
018NY6XC00VTFGEZ4Z5G33N452,"","Afghan Hawaiian"
018NY6XC00VTGAAEN36WBC3EH0,"","Afghan Haze"
018NY6XC00VTFNJFV6B2J5DB4C,"","Afghani"
018NY6XC00VTE181YQ17AVQ32V,"","Afghani #1"
018NY6XC00VTJNA2RSFWRHWWD8,"","Afghani 99"
018NY6XC00VT08EJGE0FAJ5K6Q,"","Afghani/Black Domina Hybrid"
018NY6XC00VT3R025MF55Z9PMN,"","Afghani Bullrider"
018NY6XC00VTSX2QCD17HC5CSR,"","Afghanica"
018NY6XC00VTQ85WFGFPH0E2H1,"","Afghani CBD"
018NY6XC00VTN7XDDVXB69C2KY,"","Afghani Dream"
018NY6XC00VT99W2FSXS9X84WJ,"","Afghani Erdpurt"
018NY6XC00VTVCXZNFSHVT0865,"","Afghani Gold"
018NY6XC00VTCDF77461JK4VR4,"","Afghani Granddaddy"
